|SizeOfCode|AddressOfEntryPoint|SizeOfImage
41421|159744|166654|196608
41422|116224|57436|524288
41423|119808|60906|524288
41424|604160|452748|1183744
41425|7680|5339|339968
41426|30720|14348|270336
41427|120320|61578|528384
41428|7680|5339|339968
41429|28672|14819|8708096
41430|37888|40000|90112
41431|120320|61562|528384
41432|120320|61578|528384
41433|24064|12538|241664
41434|116224|57436|524288
41435|23552|12860|262144
41436|0|8664|598016
41437|24064|12538|241664
41438|174080|116500|487424
41439|64000|10482|253952
41440|22016|29838|49152
41441|118784|59901|532480
41442|105984|68539|192512
41443|120320|61562|528384
41444|120320|61578|528384
41445|119808|61532|528384
41446|157184|66535|233472
41447|117248|58650|520192
41448|118784|59786|532480
41449|118784|59901|532480
41450|119808|61532|528384
41451|120320|61578|528384
41452|118784|59930|520192
41453|12544|12908|40960
41454|61440|38156|102400
41455|106496|68939|180224
41456|120320|61562|528384
41457|82944|21101|159744
41458|30720|14348|270336
41459|512|4096|1323008
41460|113664|24735|851968
41461|37888|40000|110592
41462|28672|14819|3977216
41463|13824|7297|155648
41464|24064|12538|241664
41465|119808|61532|528384
41466|113664|24735|851968
41467|120320|61658|528384
41468|120320|61562|528384
41469|119808|61532|528384
41470|23552|13168|249856
41471|119808|61532|528384
41472|212992|623920|643072
41473|117760|58826|520192
41474|23552|12945|290816
41475|120320|61658|528384
41476|120320|61578|528384
41477|117760|58906|520192
41478|23552|12825|192512
41479|29184|14819|5533696
41480|119808|61532|528384
41481|120320|61562|528384
41482|120320|61562|528384
41483|118784|59901|532480
41484|120320|61578|528384
41485|40960|226320|262144
41486|29184|14764|221184
41487|118784|59914|520192
41488|119808|61532|528384
41489|74752|44167|221184
41490|37888|40000|90112
41491|64512|13677|339968
41492|116224|57436|524288
41493|120320|61578|528384
41494|119808|61532|528384
41495|257024|180459|499712
41496|119808|61532|528384
41497|119808|61532|528384
41498|193024|109585|339968
41499|47616|49600|98304
41500|37888|40000|81920
41501|74752|44167|208896
41502|120320|61562|528384
41503|114688|17531|516096
41504|13824|6977|131072
41505|120320|61658|528384
41506|117760|58906|520192
41507|202240|124532|25362432
41508|74752|44167|221184
41509|8704|4416|90112
41510|102400|12013|712704
41511|24064|12538|602112
41512|118272|59610|516096
41513|4096|21936|28672
41514|119808|61532|528384
41515|1455616|2785281|2895872
41516|118784|59901|532480
41517|118784|59930|520192
41518|32768|4472|49152
41519|119808|61532|528384
41520|165376|119835|352256
41521|120320|61658|528384
41522|119808|61532|528384
41523|116224|57436|524288
41524|364032|37200|1050496
41525|119808|61532|528384
41526|29184|14764|221184
41527|29184|14764|221184
41528|47616|49600|98304
41529|120320|61658|528384
41530|112640|15735|835584
41531|7680|5339|339968
41532|24064|12538|241664
41533|13824|5715|151552
41534|64512|11974|339968
41535|120320|61578|528384
41536|102400|12013|712704
41537|120320|61578|528384
41538|23552|12825|192512
41539|112640|15735|835584
41540|122880|119656|311296
41541|119808|60996|516096
41542|120320|61562|528384
41543|70656|15741|217088
41544|24064|12538|241664
41545|120320|61658|528384
41546|37888|40000|81920
41547|116224|57436|524288
41548|76800|16669|167936
41549|114688|17531|516096
41550|120320|61658|528384
41551|37888|40000|81920
41552|7680|5339|339968
41553|29184|14764|221184
41554|74752|44167|208896
41555|117248|58538|520192
41556|118784|59802|532480
41557|102400|12013|712704
41558|120320|61562|528384
41559|120320|61562|528384
41560|120320|61658|528384
41561|118784|59882|520192
41562|116224|57436|524288
41563|119808|61532|528384
41564|119808|61532|528384
41565|7680|5339|339968
41566|119808|61532|528384
41567|23552|12825|192512
41568|119808|61532|528384
41569|120320|61578|528384
41570|113664|24735|851968
41571|31232|5494|331776
41572|103936|58651|180224
41573|37888|40000|81920
41574|7680|5339|348160
41575|120320|61578|528384
41576|21110784|32842928|33038336
41577|117248|58650|520192
41578|7680|5339|348160
41579|8704|5678|200704
41580|45056|6892|131072
41581|39424|16342|602112
41582|119808|61532|528384
41583|119808|60842|548864
41584|83968|21885|311296
41585|114688|17531|516096
41586|7680|5339|339968
41587|24064|12538|245760
41588|102400|12013|712704
41589|120320|61578|528384
41590|117248|58650|520192
41591|37888|40000|81920
41592|119808|61532|528384
41593|47616|49600|98304
41594|117760|58906|520192
41595|120320|61562|528384
41596|116224|57436|524288
41597|83968|21885|311296
41598|7680|5339|339968
41599|72192|46208|176128
41600|325120|328656|544768
41601|117760|58826|520192
41602|119296|60696|524288
41603|0|0|12288
41604|29184|14764|221184
41605|118784|59914|512000
41606|120320|61562|528384
41607|119808|61252|524288
41608|159744|64215|233472
41609|721920|4716|2027520
41610|118784|59882|520192
41611|111104|22143|524288
41612|112128|17783|720896
41613|118784|59914|512000
41614|47616|49600|98304
41615|111616|22731|593920
41616|120320|61578|528384
41617|9728|180224|184320
41618|113664|24735|851968
41619|465408|316457|831488
41620|210432|117640|475136
41621|31232|5491|331776
41622|7680|5339|339968
41623|81920|200928|217088
41624|77824|4096|303104
41625|520192|1401936|1433600
41626|120320|61562|528384
41627|132608|59052|294912
41628|524288|1416352|1445888
41629|23552|12860|245760
41630|28672|14819|3977216
41631|119808|60996|516096
41632|12288|12734|45056
41633|112640|15735|835584
41634|88576|21453|180224
41635|7680|5339|339968
41636|120320|61562|528384
41637|131072|204800|315392
41638|119808|61532|528384
41639|29184|14764|221184
41640|117248|58650|520192
41641|120320|61658|528384
41642|37888|40000|81920
41643|102400|12013|712704
41644|5120|15631811|20615168
41645|524288|1416352|1445888
41646|546816|404876|954368
41647|7680|5339|348160
41648|119808|61532|528384
41649|119808|60996|516096
41650|7680|5339|327680
41651|7680|5339|348160
41652|102400|12013|712704
41653|28672|10211|135168
41654|105984|12165|872448
41655|74752|44167|221184
41656|83456|21853|311296
41657|114176|17245|524288
41658|7680|5339|339968
41659|119808|61532|528384
41660|37888|40000|81920
41661|118272|59370|516096
41662|2289152|4768|15507456
41663|119808|61532|528384
41664|120320|61578|528384
41665|117248|58650|520192
41666|88576|21453|180224
41667|110080|16127|507904
41668|47616|49600|98304
41669|37376|39512|81920
41670|119808|61252|524288
41671|119808|61532|528384
41672|24064|12538|2490368
41673|7680|5339|348160
41674|116224|57436|524288
41675|120320|61578|528384
41676|23552|12860|245760
41677|1024|4096|77824
41678|118784|59786|532480
41679|24064|12538|241664
41680|120320|61562|528384
41681|120320|61658|528384
41682|113664|24735|851968
41683|24064|12538|315392
41684|13824|5790|151552
41685|37888|40000|81920
41686|120320|61562|528384
41687|28672|14819|8691712
41688|114688|523856|532480
41689|0|8664|872448
41690|119808|61252|524288
41691|29184|14764|221184
41692|24576|16016|73728
41693|99328|8924|1265664
41694|119808|61532|528384
41695|112640|15735|835584
41696|99328|8924|1400832
41697|7680|5339|348160
41698|353792|182976|626688
41699|119808|60906|524288
41700|1040896|337293|1875968
41701|117248|58650|520192
41702|7680|5339|339968
41703|7680|5339|339968
41704|264192|4096|405504
41705|121344|62797|524288
41706|119808|61532|528384
41707|120320|61658|528384
41708|37888|40000|81920
41709|8704|4416|90112
41710|118784|60132|520192
41711|475648|319769|856064
41712|7680|5339|335872
41713|36864|5616|823296
41714|120320|61562|528384
41715|23552|12825|192512
41716|120320|61578|528384
41717|118784|59882|520192
41718|118784|59914|512000
41719|119808|61532|528384
41720|7680|5339|339968
41721|131072|200705|212992
41722|180224|64050|258048
41723|3072|5537|24576
41724|118784|59901|532480
41725|36864|39100|77824
41726|7680|5339|339968
41727|13312|5148|20480
41728|28672|14819|3977216
41729|119808|61532|528384
41730|110592|10010|458752
41731|119808|61532|528384
41732|119808|60842|548864
41733|29184|14764|221184
41734|119808|61532|528384
41735|120320|61578|528384
41736|118784|59946|520192
41737|120320|61578|528384
41738|120320|61562|528384
41739|118272|59610|516096
41740|111616|22731|593920
41741|65024|70588|126976
41742|119808|61532|528384
41743|104960|67739|180224
41744|83968|21885|311296
41745|118784|59901|532480
41746|42496|50446|73728
41747|113664|24735|851968
41748|193024|109585|339968
41749|64000|10482|262144
41750|120320|61658|528384
41751|119808|61532|528384
41752|24064|12538|315392
41753|119296|60696|524288
41754|28672|14819|8708096
41755|118784|59882|520192
41756|120320|61562|528384
41757|208896|33200|294912
41758|30720|14348|270336
41759|7680|5339|339968
41760|13824|34304|40960
41761|0|24554|32768
41762|118272|59466|524288
41763|120320|61578|528384
41764|120320|61578|528384
41765|120320|61562|528384
41766|3133440|8229520|8253440
41767|7680|5339|348160
41768|24576|391680|413696
41769|117248|58650|520192
41770|118784|59914|520192
41771|40448|42488|81920
41772|64000|10482|262144
41773|118784|59901|532480
41774|23040|12491|1400832
41775|118784|59914|520192
41776|31232|5494|331776
41777|64000|10482|262144
41778|28672|14819|3977216
41779|43008|19261|303104
41780|40448|42488|81920
41781|28672|14819|8691712
41782|120320|61578|528384
41783|23040|12491|1400832
41784|47616|49600|98304
41785|118784|59786|520192
41786|120320|61658|528384
41787|120320|61562|528384
41788|119808|61532|528384
41789|29184|14764|221184
41790|64000|10482|262144
41791|83968|21885|311296
41792|64512|13677|339968
41793|302592|82524|509356
41794|27648|35566|57344
41795|7680|5339|339968
41796|353792|182704|630784
41797|120320|61562|528384
41798|119808|61532|528384
41799|193024|109585|339968
41800|23552|12825|192512
41801|117760|58906|520192
41802|113664|24735|851968
41803|102400|15197|1257472
41804|119296|60696|524288
41805|119808|61532|528384
41806|119808|61532|528384
41807|120320|61562|528384
41808|118784|59802|520192
41809|7680|5339|348160
41810|86016|91256|184320
41811|120320|61578|528384
41812|7680|5339|339968
41813|37888|40000|81920
41814|119808|61532|528384
41815|64512|12006|339968
41816|278016|198568|532480
41817|120320|61562|528384
41818|465408|316601|831488
41819|13824|7384|155648
41820|29184|14764|221184
41821|35328|31539|507904
41822|116224|57436|524288
41823|118784|59901|532480
41824|30720|14348|270336
41825|119808|61532|528384
41826|119808|61300|528384
41827|113664|24735|851968
41828|25088|13984|344064
41829|113664|24735|851968
41830|24064|12538|262144
41831|120320|61658|528384
41832|119808|60996|516096
41833|119808|61532|528384
41834|119808|60996|516096
41835|3489792|9773584|9801728
41836|120320|61578|528384
41837|118784|260448|290816
41838|64512|13677|339968
41839|120320|61562|528384
41840|117760|58906|520192
41841|81920|429152|434176
41842|35328|17187|798720
41843|119808|61532|528384
41844|64000|10482|253952
41845|120320|61578|528384
41846|131584|88699|217088
41847|113152|50391|479232
41848|37888|40000|81920
41849|606208|612366|630784
41850|74752|44167|208896
41851|37888|40000|81920
41852|119808|61300|524288
41853|114688|122510|376832
41854|118272|59610|516096
41855|176128|4640|212992
41856|119808|61532|528384
41857|37888|40000|81920
41858|104960|67595|180224
41859|121344|62797|524288
41860|119808|61532|528384
41861|105984|15180|761856
41862|28672|5576|49152
41863|7680|5339|339968
41864|24064|12538|602112
41865|120320|61658|528384
41866|102400|12013|712704
41867|29184|14764|221184
41868|120320|61658|528384
41869|105984|15180|761856
41870|47616|49600|98304
41871|67584|42968|151552
41872|157696|67015|233472
41873|118784|59914|512000
41874|28672|14819|8429568
41875|110080|16127|507904
41876|117248|58650|520192
41877|120320|61578|528384
41878|193024|109585|339968
41879|119808|61532|528384
41880|30720|14348|270336
41881|524288|1416352|1445888
41882|120320|61578|528384
41883|37888|40000|81920
41884|120320|61658|528384
41885|23040|12491|1384448
41886|28672|14819|3588096
41887|74752|44167|208896
41888|74752|44167|208896
41889|104960|67771|180224
41890|47616|49600|98304
41891|120320|61658|528384
41892|7680|5339|339968
41893|112640|15735|835584
41894|162816|67719|237568
41895|338944|345040|483328
41896|120320|61578|528384
41897|119808|61532|528384
41898|113664|24735|851968
41899|119808|61532|528384
41900|71168|16077|163840
41901|7680|5339|335872
41902|7680|5339|339968
41903|117760|58906|520192
41904|119808|61532|528384
41905|30720|14348|270336
41906|353792|182704|630784
41907|119808|61252|524288
41908|30720|14348|270336
41909|113664|24735|851968
41910|120320|61578|528384
41911|37888|40000|81920
41912|40448|42488|81920
41913|112640|15735|835584
41914|543744|402284|1011712
41915|117248|58650|520192
41916|23552|12860|204800
41917|111616|19956|872448
41918|120320|61658|528384
41919|23552|12825|192512
41920|24064|12538|315392
41921|30720|14348|270336
41922|114688|17531|516096
41923|119808|61532|528384
41924|117760|58906|520192
41925|7680|5339|339968
41926|24064|12538|241664
41927|74752|44167|221184
41928|24064|12538|241664
41929|104960|67595|180224
41930|111616|20004|507904
41931|102400|12013|712704
41932|7680|5339|339968
41933|120320|61562|528384
41934|111616|20004|507904
41935|37888|40000|110592
41936|120320|61578|528384
41937|23552|12825|192512
41938|119808|61532|528384
41939|118272|59610|516096
41940|119808|61156|524288
41941|102400|12013|712704
41942|116224|57436|524288
41943|120320|61562|528384
41944|37888|40000|90112
41945|118784|60132|520192
41946|7680|5339|339968
41947|119808|61532|528384
41948|120320|61562|528384
41949|117248|58650|520192
41950|117248|58650|520192
41951|744448|748448|917504
41952|29184|14764|221184
41953|120320|61578|528384
41954|30720|14348|270336
41955|22016|29838|49152
41956|53248|54303|90112
41957|528384|1421632|1454080
41958|47616|49600|98304
41959|37888|40000|90112
41960|118272|59610|516096
41961|113664|24735|851968
41962|24064|12538|241664
41963|29184|14764|221184
41964|28672|14819|8429568
41965|65024|70588|446464
41966|119808|61532|528384
41967|119808|61532|528384
41968|119808|61532|528384
41969|118784|59882|520192
41970|28672|14819|3977216
41971|37888|40000|81920
41972|148992|134108|1101824
41973|24064|12538|241664
41974|64000|10482|262144
41975|111616|19956|647168
41976|74752|44167|208896
41977|7680|5339|348160
41978|120320|61562|528384
41979|208384|124299|454656
41980|120320|61578|528384
41981|23552|12860|192512
41982|37452|221239|323584
41983|120320|61578|528384
41984|74752|73190|110592
41985|23040|12491|1384448
41986|353792|182704|630784
41987|120320|61658|528384
41988|117248|58650|520192
41989|165888|120203|352256
41990|120320|61578|528384
41991|120320|61578|528384
41992|119808|61532|528384
41993|118784|59882|520192
41994|105472|68059|180224
41995|29184|14764|221184
41996|69632|4096|118784
41997|117248|58650|520192
41998|28672|14819|8708096
41999|118784|59901|532480
42000|120320|61658|528384
42001|325632|321205|479232
42002|117760|58906|520192
42003|119808|61532|528384
42004|118784|59802|540672
42005|99328|8924|1400832
42006|47616|49600|98304
42007|122368|53634|487424
42008|4136960|9227216|9248768
42009|113664|24735|851968
42010|119808|61532|528384
42011|28672|14819|1208320
42012|1052672|4563|661667840
42013|111616|19956|823296
42014|113664|24735|851968
42015|113664|24735|851968
42016|6656|14782|32768
42017|119808|61532|528384
42018|118784|59882|520192
42019|64000|10482|262144
42020|182784|66594|262144
42021|117248|58650|520192
42022|117760|58617|516096
42023|114176|17389|978944
42024|116224|57436|524288
42025|113664|24735|851968
42026|117248|58650|520192
42027|7680|5339|339968
42028|471040|704640|720896
42029|7680|5339|339968
42030|117760|58906|520192
42031|30720|14348|270336
42032|120320|61578|528384
42033|74752|44167|208896
42034|28672|14819|8691712
42035|119808|61532|528384
42036|119808|61532|528384
42037|120320|61562|528384
42038|117248|58650|520192
42039|29696|14511|1056768
42040|118272|59610|516096
42041|24064|12538|634880
42042|113664|11853|651264
42043|119808|61532|528384
42044|7680|5339|339968
42045|117760|58826|520192
42046|431104|261888|712704
42047|37888|40000|90112
42048|28672|14819|1126400
42049|118784|59914|512000
42050|119808|61532|528384
42051|7680|5339|339968
42052|117760|58826|520192
42053|82432|20900|118784
42054|6144|13870|32768
42055|577536|1516384|1548288
42056|119808|61532|528384
42057|119808|61532|528384
42058|120320|61562|528384
42059|117248|58650|520192
42060|56832|21503|90112
42061|7680|5339|327680
42062|119808|61532|528384
42063|119808|61532|528384
42064|113664|24735|851968
42065|120320|61562|528384
42066|24064|12538|602112
42067|111616|22731|593920
42068|37888|40000|81920
42069|120320|61578|528384
42070|119808|61532|528384
42071|71680|45012|733184
42072|253952|738704|745472
42073|8704|4416|90112
42074|270336|744320|765952
42075|25600|5133|368640
42076|119808|61532|528384
42077|7680|5339|339968
42078|120320|61578|528384
42079|120320|61658|528384
42080|118784|60132|520192
42081|117760|58906|520192
42082|116224|57436|524288
42083|64000|10482|262144
42084|64512|11849|339968
42085|23552|12825|192512
42086|7680|5339|647168
42087|64000|10482|262144
42088|102400|12013|712704
42089|118784|59882|520192
42090|0|0|12288
42091|120320|61578|528384
42092|7680|5339|335872
42093|37888|40000|81920
42094|72192|46208|176128
42095|120320|61578|528384
42096|31232|4096|114688
42097|110080|16127|507904
42098|7680|5339|327680
42099|42496|50446|73728
42100|105984|68491|184320
42101|165376|75064|241664
42102|119808|61532|528384
42103|120320|61562|528384
42104|524288|1416352|1445888
42105|524288|1416352|1445888
42106|116224|57436|524288
42107|29184|14764|221184
42108|120320|61562|528384
42109|120320|61562|528384
42110|64512|13677|339968
42111|225280|622992|655360
42112|120320|61578|528384
42113|119808|61532|528384
42114|74752|44167|212992
42115|37888|40000|81920
42116|119808|61532|528384
42117|7680|5339|339968
42118|120320|61562|528384
42119|116224|57436|524288
42120|524288|1416352|1445888
42121|28672|14819|8429568
42122|520192|1401936|1433600
42123|279552|200673|479232
42124|110592|10010|458752
42125|119808|61532|528384
42126|119808|61532|528384
42127|117248|58650|520192
42128|7680|5339|339968
42129|24064|12538|602112
42130|4136960|9227216|9248768
42131|140288|88480|286720
42132|120320|61578|528384
42133|113664|24735|851968
42134|117760|59226|524288
42135|118784|59882|520192
42136|37888|40000|81920
42137|74752|44167|221184
42138|116224|57436|524288
42139|88576|21453|180224
42140|29184|14764|221184
42141|586240|560742|655360
42142|46592|10927|94208
42143|119808|61532|528384
42144|119808|61532|528384
42145|28672|14819|3977216
42146|120320|61578|528384
42147|113664|24735|851968
42148|120320|61578|528384
42149|116224|57436|524288
42150|95232|23806|815144
42151|119808|61532|528384
42152|32768|6900|819200
42153|113664|24735|851968
42154|37888|40000|81920
42155|13824|6186|151552
42156|113664|24735|851968
42157|120320|61562|528384
42158|119808|61532|528384
42159|120320|61658|528384
42160|119808|61532|528384
42161|113664|24735|851968
42162|117248|58650|520192
42163|120320|61578|528384
42164|30720|14348|270336
42165|120320|61562|528384
42166|120320|61562|528384
42167|47616|49600|98304
42168|24064|12721|401408
42169|4136960|9227216|9248768
42170|53248|532480|557056
42171|1536|4181|1429504
42172|118784|59914|512000
42173|29184|14764|221184
42174|113664|24735|851968
42175|112128|50998|1503232
42176|114688|17531|516096
42177|7680|5339|339968
42178|77824|374080|385024
42179|30720|14348|270336
42180|120320|61658|528384
42181|116224|57436|524288
42182|117760|58906|520192
42183|113664|24735|851968
42184|165888|120203|352256
42185|29184|14764|221184
42186|7680|5339|339968
42187|120320|61658|528384
42188|528384|1421568|1454080
42189|120320|61578|528384
42190|120320|61578|528384
42191|118784|60132|520192
42192|205824|123163|442368
42193|118784|59882|520192
42194|7680|5339|356352
42195|117248|58650|520192
42196|46592|10927|106496
42197|37888|40000|106496
42198|118784|59930|520192
42199|113664|24735|851968
42200|99328|8924|1400832
42201|105472|68347|180224
42202|24064|12538|241664
42203|119808|61532|528384
42204|61440|32440|7622656
42205|241664|163268|356352
42206|120320|61578|528384
42207|112128|17783|720896
42208|120320|61578|528384
42209|7680|5339|339968
42210|37888|40000|81920
42211|524288|1416352|1445888
42212|120320|61578|528384
42213|113664|24735|851968
42214|7680|5339|335872
42215|118272|59610|516096
42216|102400|12013|712704
42217|120320|61562|528384
42218|193024|109585|339968
42219|120320|61578|528384
42220|718336|721756|1425408
42221|118784|59914|520192
42222|577536|1516384|1548288
42223|117248|58650|520192
42224|7680|5339|339968
42225|24064|12538|262144
42226|7680|5339|335872
42227|120320|61562|528384
42228|116224|57436|524288
42229|117248|58538|520192
42230|47616|49600|98304
42231|7680|5339|339968
42232|8192|8192|24576
42233|116224|57436|524288
42234|119808|61532|528384
42235|40960|226320|262144
42236|7680|5339|339968
42237|83968|21885|311296
42238|2359808|2363608|15896576
42239|30720|14348|270336
42240|120320|61578|528384
42241|113664|24735|851968
42242|119808|61532|528384
42243|118784|59914|512000
42244|40960|6300|57344
42245|24064|12538|241664
42246|117760|58906|520192
42247|7680|5339|339968
42248|70656|15741|217088
42249|83968|21885|311296
42250|119808|61532|528384
42251|119808|61532|528384
42252|119808|61532|528384
42253|24064|12538|241664
42254|64512|13677|339968
42255|119808|61532|528384
42256|118784|59802|520192
42257|120320|61578|528384
42258|37888|40000|90112
42259|116224|57436|524288
42260|165376|119835|352256
42261|119808|61532|528384
42262|37888|40000|81920
42263|120320|61562|528384
42264|30720|14348|270336
42265|544768|659457|765952
42266|164864|69415|241664
42267|119808|61532|528384
42268|118784|59930|520192
42269|120320|61562|528384
42270|120320|61578|528384
42271|119808|61532|528384
42272|116224|57436|524288
42273|117760|58906|520192
42274|42496|50222|155648
42275|7680|5339|348160
42276|121344|62797|524288
42277|119808|61532|528384
42278|7680|5339|339968
42279|64512|13677|339968
42280|102400|12013|712704
42281|118784|59930|520192
42282|225280|622992|655360
42283|7680|5339|335872
42284|120320|61578|528384
42285|117760|58906|520192
42286|118784|59882|520192
42287|120320|61578|528384
42288|81920|4096|131072
42289|118784|59930|520192
42290|119808|61532|528384
42291|120320|61658|528384
42292|119808|61532|528384
42293|532480|1433968|1466368
42294|37888|40000|81920
42295|108032|19657|487424
42296|37888|40000|81920
42297|120320|61658|528384
42298|353792|182704|630784
42299|28672|14819|8708096
42300|64000|10482|262144
42301|37888|40000|81920
42302|520192|1401936|1433600
42303|24064|12538|241664
42304|64000|10482|262144
42305|119808|61532|528384
42306|37888|40000|81920
42307|67584|42885|147456
42308|102400|12013|712704
42309|28672|14819|3977216
42310|23552|12825|192512
42311|338944|345040|565248
42312|120320|61578|528384
42313|118784|59882|520192
42314|119808|61532|528384
42315|193024|109585|339968
42316|193024|109585|339968
42317|5120|7896|98304
42318|442368|289567|864256
42319|119808|61532|528384
42320|335872|767168|778240
42321|121344|62797|524288
42322|114688|17531|516096
42323|37888|40000|81920
42324|119808|61532|528384
42325|119808|61532|528384
42326|30720|14348|270336
42327|120320|61562|528384
42328|121344|62797|524288
42329|120320|61658|528384
42330|120320|61562|528384
42331|120320|61658|528384
42332|29696|16347|536576
42333|120320|61578|528384
42334|117248|58650|520192
42335|118272|59610|516096
42336|64512|12342|339968
42337|70656|15741|217088
42338|120320|61562|528384
42339|119808|61532|528384
42340|23040|13113|196608
42341|119808|61532|528384
42342|117248|58650|520192
42343|120320|61578|528384
42344|113664|24735|851968
42345|119808|61532|528384
42346|31232|5491|331776
42347|29184|14764|221184
42348|117248|58650|520192
42349|83456|21501|159744
42350|117760|58906|520192
42351|118272|59610|516096
42352|13824|6873|210498
42353|119808|61300|524288
42354|23040|12491|1400832
42355|118272|59610|516096
42356|161280|65719|237568
42357|8704|4416|118784
42358|113664|24735|851968
42359|120320|61562|528384
42360|83968|21885|311296
42361|37888|40000|81920
42362|111616|22699|585728
42363|120320|61562|528384
42364|39424|16342|602112
42365|24064|12624|245760
42366|29184|14764|221184
42367|28672|14819|8708096
42368|37888|40000|253952
42369|118784|59786|520192
42370|110080|16127|507904
42371|119808|61316|524288
42372|120320|61578|528384
42373|118272|59610|516096
42374|105472|68059|180224
42375|118784|126702|155648
42376|83968|21885|311296
42377|102400|12013|712704
42378|118784|60132|520192
42379|74752|44167|221184
42380|111616|22731|593920
42381|4136960|9227216|9248768
42382|118784|59882|520192
42383|70656|15741|217088
42384|73728|4096|139264
42385|88576|21453|180224
42386|113664|24735|851968
42387|119808|61532|528384
42388|74752|44167|221184
42389|119808|61532|528384
42390|47616|49600|98304
42391|24064|12538|290816
42392|120320|61658|528384
42393|73728|79646|188416
42394|111104|22299|684032
42395|120320|61562|528384
42396|37452|221239|323584
42397|120320|61658|528384
42398|111104|19748|700416
42399|67584|8970|176128
42400|117248|58650|520192
42401|278528|198440|532480
42402|99328|8924|1265664
42403|118272|59610|516096
42404|119808|61532|528384
42405|29696|26342|856064
42406|119808|61532|528384
42407|104960|67595|180224
42408|47616|49600|98304
42409|117248|58650|520192
42410|117248|58650|520192
42411|133632|90315|217088
42412|86016|91256|184320
42413|37888|40000|81920
42414|37888|40000|90112
42415|64000|10482|262144
42416|113664|24735|851968
42417|41984|9481|385024
42418|28672|14819|3026944
42419|121344|62797|524288
42420|114688|17531|516096
42421|120320|61562|528384
42422|120320|61578|528384
42423|113664|24735|851968
42424|116224|57436|524288
42425|7680|4096|376832
42426|74752|44167|307200
42427|120320|61578|528384
42428|102400|12013|712704
42429|8704|4416|90112
42430|120320|61578|528384
42431|327680|2416640|5386240
42432|7680|5339|339968
42433|37888|40000|81920
42434|212992|623920|643072
42435|28672|6976|995328
42436|117760|58906|520192
42437|37888|39716|81920
42438|118272|59610|516096
42439|7680|5339|348160
42440|162816|67719|237568
42441|237568|553840|565248
42442|120320|61658|528384
42443|105472|68059|180224
42444|37888|40000|81920
42445|243200|165345|360448
42446|73216|27016|122880
42447|3072|5715|24576
42448|120320|61578|528384
42449|121344|62797|524288
42450|120320|61562|528384
42451|120320|61562|528384
42452|61440|59738|118784
42453|102400|12013|712704
42454|31232|23109|122880
42455|27136|35086|57344
42456|749568|159840|14835712
42457|30720|14348|270336
42458|37888|40000|81920
42459|28672|14819|3977216
42460|119808|60996|516096
42461|47616|49600|98304
42462|7680|5339|339968
42463|65024|70588|188416
42464|114688|17531|516096
42465|29184|14764|221184
42466|47616|49600|98304
42467|104960|67755|180224
42468|70656|15741|217088
42469|29184|14764|221184
42470|7680|5339|339968
42471|118784|59882|520192
42472|113664|24735|851968
42473|25088|13238|335872
